dataset_id,outer_fold,eval_seed,method_id,outer_unit_id,attack,attack_seed,bootstrap_replicates,calibration_fraction,label_stratified,group_isolated,roc_auc,maximum_advantage,tpr_at_fpr_le_0_01,tpr_at_fpr_le_0_05,roc_auc_ci95_low,roc_auc_ci95_high,evaluation_accuracy
pima,0,939188524,fedavg_nonprivate,84b1a2a67ab831963f7a52f53a1a9bded4c158d6e6ec1960f08ffa352b7d1064,loss_threshold,3516384851,2000,0.5,True,True,0.4675324675324675,0.06630211893369788,0.0,0.10526315789473684,0.3771428575666529,0.5603663116912858,0.5032679738562091
pima,0,939188524,fedavg_nonprivate,84b1a2a67ab831963f7a52f53a1a9bded4c158d6e6ec1960f08ffa352b7d1064,confidence_entropy_logistic,1173778422,2000,0.5,True,True,0.5252904989747095,0.12047163362952829,0.0,0.09090909090909091,0.43555137582723785,0.6157548839106564,0.477124183006536
pima,0,939188524,dp_fedavg,130c4c33d43a47e868d1700f5b3699684d438362c4cd47b1e4d78e52df23ceba,loss_threshold,920758495,2000,0.5,True,True,0.4700956937799043,0.05126452494873546,0.013157894736842105,0.039473684210526314,0.3792482432804813,0.561928553477615,0.45751633986928103
pima,0,939188524,dp_fedavg,130c4c33d43a47e868d1700f5b3699684d438362c4cd47b1e4d78e52df23ceba,confidence_entropy_logistic,2719701688,2000,0.5,True,True,0.5370813397129186,0.16028708133971292,0.0,0.03896103896103896,0.441314749669868,0.6280901120783435,0.5032679738562091
pima,0,939188524,fedsift,27ec7d3549620321733392e8259e12a0cb3bcab22956a3d8b47486474c3160dd,loss_threshold,3021913279,2000,0.5,True,True,0.5300751879699248,0.1214969241285031,0.025974025974025976,0.03896103896103896,0.4389706083390294,0.620900138368818,0.48366013071895425
pima,0,939188524,fedsift,27ec7d3549620321733392e8259e12a0cb3bcab22956a3d8b47486474c3160dd,confidence_entropy_logistic,3369968031,2000,0.5,True,True,0.4598427887901572,0.021189336978810702,0.0,0.0,0.37508327345347187,0.5559054353391661,0.48366013071895425
retinopathy,0,939188524,fedavg_nonprivate,eec560d6c3e94d3abe8805c1b425691a7d0249dd1cd699a81f68f2ddcda99ea6,loss_threshold,151579051,2000,0.5,True,True,0.5016491754122939,0.08163418290854574,0.0,0.05217391304347826,0.4269735963374502,0.5769415292353822,0.49783549783549785
retinopathy,0,939188524,fedavg_nonprivate,eec560d6c3e94d3abe8805c1b425691a7d0249dd1cd699a81f68f2ddcda99ea6,confidence_entropy_logistic,3441947498,2000,0.5,True,True,0.4589205397301349,0.03350824587706146,0.008620689655172414,0.05172413793103448,0.3824964779232297,0.5345042905980452,0.46320346320346323
retinopathy,0,939188524,dp_fedavg,e2dfdb8ec5eb51fab0e9c4c1f9eeb1ea76ce21438734bd7c6a532f8aa5ed0fcc,loss_threshold,1062123090,2000,0.5,True,True,0.5146176911544228,0.0718140929535232,0.017391304347826087,0.034782608695652174,0.4356199615795188,0.5914289083941817,0.5151515151515151
retinopathy,0,939188524,dp_fedavg,e2dfdb8ec5eb51fab0e9c4c1f9eeb1ea76ce21438734bd7c6a532f8aa5ed0fcc,confidence_entropy_logistic,1649091033,2000,0.5,True,True,0.48523238380809597,0.0296851574212893,0.008620689655172414,0.04310344827586207,0.4135064091390025,0.5620823407426409,0.48917748917748916
retinopathy,0,939188524,fedsift,00d0b4047216f16eacc938bf300d591372b65070ac6c64de677221ec9e612449,loss_threshold,2329293073,2000,0.5,True,True,0.516791604197901,0.06379310344827588,0.043478260869565216,0.0782608695652174,0.4448251302407755,0.5931743965625544,0.5194805194805194
retinopathy,0,939188524,fedsift,00d0b4047216f16eacc938bf300d591372b65070ac6c64de677221ec9e612449,confidence_entropy_logistic,503493391,2000,0.5,True,True,0.5699400299850075,0.17031484257871063,0.04310344827586207,0.09482758620689655,0.49587403883859305,0.6421680222464019,0.5714285714285714
