dataset,method,metric,direction,fold_count,mean,sd,ci95_low_t,ci95_high_t
pima,fedavg_nonprivate,auroc,higher,5,0.8395359888190077,0.02804733832844807,0.8047106185711331,0.8743613590668823
pima,fedavg_nonprivate,average_precision,higher,5,0.7344949920582813,0.05520992011923124,0.6659428219025261,0.8030471622140365
pima,fedavg_nonprivate,balanced_accuracy,higher,5,0.7209014675052411,0.05074667610924376,0.657891146751886,0.7839117882585962
pima,fedavg_nonprivate,brier_score,lower,5,0.15500654321613222,0.012181937736604823,0.13988066970023014,0.1701324167320343
pima,fedavg_nonprivate,f1,higher,5,0.6564566545809547,0.04317517863127917,0.6028475896584788,0.7100657195034306
pima,fedavg_nonprivate,log_loss,lower,5,0.4737084874146661,0.036535999559296255,0.42834305212349927,0.519073922705833
pima,fedavg_nonprivate,mcc,higher,5,0.4403141661737554,0.0811202382736128,0.3395900867836991,0.5410382455638116
pima,fedavg_nonprivate,npv,higher,5,0.9280938826927633,0.035404362474475044,0.8841335604288512,0.9720542049566754
pima,fedavg_nonprivate,ppv,higher,5,0.5121111760503929,0.05142955296033323,0.4482529516958332,0.5759694004049526
pima,fedavg_nonprivate,sensitivity,higher,5,0.9218029350104822,0.05122666283096665,0.8581966320251478,0.9854092379958165
pima,fedavg_nonprivate,specificity,higher,5,0.52,0.11575836902790224,0.37626700068726787,0.6637329993127321
pima,dp_fedavg,auroc,higher,5,0.8309636617749826,0.02726810888930568,0.7971058326680316,0.8648214908819336
pima,dp_fedavg,average_precision,higher,5,0.713393841555161,0.061923307035293355,0.6365059005597191,0.7902817825506028
pima,dp_fedavg,balanced_accuracy,higher,5,0.7307044025157232,0.022947680748531155,0.7022110934879984,0.7591977115434481
pima,dp_fedavg,brier_score,lower,5,0.1645361712537492,0.015743285072213096,0.14498830096612342,0.18408404154137498
pima,dp_fedavg,f1,higher,5,0.6605336243702009,0.025207429385344825,0.6292344668151545,0.6918327819252473
pima,dp_fedavg,log_loss,lower,5,0.5023119421010744,0.05163499158940659,0.43819863199695397,0.5664252522051949
pima,dp_fedavg,mcc,higher,5,0.4447941504393815,0.04655955355064878,0.38698282902310055,0.5026054718556624
pima,dp_fedavg,npv,higher,5,0.8940594433228929,0.035445325370168874,0.8500482589061356,0.9380706277396502
pima,dp_fedavg,ppv,higher,5,0.5347509329118298,0.020623693704427418,0.5091432349290607,0.560358630894599
pima,dp_fedavg,sensitivity,higher,5,0.8654088050314466,0.05427693694466252,0.7980150864944832,0.93280252356841
pima,dp_fedavg,specificity,higher,5,0.596,0.033615472627943226,0.5542608778552787,0.6377391221447213
pima,dp_fedadam,auroc,higher,5,0.8287700908455626,0.02282280832978114,0.8004318314045683,0.857108350286557
pima,dp_fedadam,average_precision,higher,5,0.7139874439125649,0.06760844733598095,0.6300404688810219,0.7979344189441078
pima,dp_fedadam,balanced_accuracy,higher,5,0.7345457721872817,0.019285585699238675,0.7105995547402636,0.7584919896342998
pima,dp_fedadam,brier_score,lower,5,0.16745787658224298,0.014417921090362384,0.14955566303539722,0.18536009012908874
pima,dp_fedadam,f1,higher,5,0.6657554273812385,0.01937038932496169,0.641703912325243,0.689806942437234
pima,dp_fedadam,log_loss,lower,5,0.5193537236524787,0.05658834931710204,0.4490900075876544,0.589617439717303
pima,dp_fedadam,mcc,higher,5,0.4559668066723792,0.0371846590885944,0.4097959541965911,0.5021376591481673
pima,dp_fedadam,npv,higher,5,0.9143224789915966,0.025655098745695083,0.8824674665087044,0.9461774914744887
pima,dp_fedadam,ppv,higher,5,0.5289477511434681,0.019565820746635806,0.5046535759270622,0.5532419263598741
pima,dp_fedadam,sensitivity,higher,5,0.8990915443745632,0.03436759359434133,0.8564185407035712,0.9417645480455552
pima,dp_fedadam,specificity,higher,5,0.5700000000000001,0.035355339059327355,0.5261005483457458,0.6138994516542543
pima,fedsift,auroc,higher,5,0.8310216631726066,0.024009066336936512,0.8012104698715465,0.8608328564736667
pima,fedsift,average_precision,higher,5,0.7186540296267183,0.056871017842027055,0.6480393342310693,0.7892687250223673
pima,fedsift,balanced_accuracy,higher,5,0.7354675052410902,0.027545288809104083,0.7012655118067005,0.7696694986754798
pima,fedsift,brier_score,lower,5,0.16601181759246267,0.015179287940537418,0.14716424223832875,0.1848593929465966
pima,fedsift,f1,higher,5,0.6674476375206302,0.02543904413468494,0.6358608922698752,0.6990343827713852
pima,fedsift,log_loss,lower,5,0.5111553163640085,0.05676416943427323,0.4406732907895327,0.5816373419384842
pima,fedsift,mcc,higher,5,0.45964627511754896,0.04549029407611943,0.4031626146955294,0.5161299355395685
pima,fedsift,npv,higher,5,0.9179581504431473,0.02497855385112824,0.8869431793990074,0.9489731214872873
pima,fedsift,ppv,higher,5,0.5309026676778474,0.035601338363853374,0.48669776754358013,0.5751075678121148
pima,fedsift,sensitivity,higher,5,0.9029350104821804,0.04047563616745718,0.8526778702486545,0.9531921507157063
pima,fedsift,specificity,higher,5,0.568,0.07463243262818114,0.4753315953072193,0.6606684046927805
pima,fedsift_public_argmin_rule,auroc,higher,5,0.8297071977638015,0.02392927413359481,0.7999950795689682,0.8594193159586349
