dataset,outer_fold,eval_seed,method,unit_id,round_downlink_bytes,round_uplink_bytes,round_total_federated_bytes,local_optimizer_steps,sampled_record_gradient_evaluations,public_candidate_forward_record_evaluations,server_global_vector_inner_products
pima,0,939188524,fedavg_nonprivate,84b1a2a67ab831963f7a52f53a1a9bded4c158d6e6ec1960f08ffa352b7d1064,18000,18000,36000,250,24650,0,0
pima,0,939188524,dp_fedavg,130c4c33d43a47e868d1700f5b3699684d438362c4cd47b1e4d78e52df23ceba,18000,18000,36000,250,24650,0,0
pima,0,939188524,dp_fedadam,1baa693e5bc8d3370dc4d420199597fa901ade780609e7d46cdd4acdd9019e95,18000,18000,36000,250,24650,0,0
pima,0,939188524,fedsift,27ec7d3549620321733392e8259e12a0cb3bcab22956a3d8b47486474c3160dd,18000,18000,36000,250,24650,15250,0
pima,0,939188524,fedsift_uniform_schedule,7155d8465d1269dc59ffbaa7b7a8d5aef3f56f7168b5ac1ca28d1fdcf516a4db,18000,18000,36000,250,24650,15250,0
pima,0,939188524,fedsift_without_sift,f81ac30a1f0a9d0a143dd58d1356a622650e5193771c35d7686fe9b27538359c,18000,18000,36000,250,24650,0,0
pima,0,939188524,fedsift_public_argmin_rule,29dedce2c20add17613df52c9861a87e2f61d3c5769faa3a36c7b611bd43f6a6,18000,18000,36000,250,24650,15250,0
pima,1,939188524,fedavg_nonprivate,0ad402754556d0f4949f53ce42da9ad8255538eefe67d14be52c03773c11c96b,18000,18000,36000,250,24600,0,0
pima,1,939188524,dp_fedavg,ae292e5c44c4b1a206e8e910360a1a08f8f943b8b88757984922de013116e439,18000,18000,36000,250,24600,0,0
pima,1,939188524,dp_fedadam,d929afa0d1d87eb7eb0565da0fb788a0a5d786025a227556d3a4f64724b01bd8,18000,18000,36000,250,24600,0,0
pima,1,939188524,fedsift,695a2dbfc1e290e74f7b8c2f211e8bbe486ed44c7f15c355fb74df101649d4af,18000,18000,36000,250,24600,3050,0
pima,1,939188524,fedsift_uniform_schedule,a1ac653fae94c9f04a0b4fef2f886fb088970c735b1b137ccca388566150d310,18000,18000,36000,250,24600,3050,0
pima,1,939188524,fedsift_without_sift,440cd2df6799bb9be8ce044ed5859b5c5f4001406b69cc36adb3ed7ee8427f31,18000,18000,36000,250,24600,0,0
pima,1,939188524,fedsift_public_argmin_rule,acbe505d895db97dd342d9bdf27d9887af18ad301e0235e3b418dbf25428c250,18000,18000,36000,250,24600,3050,0
pima,2,939188524,fedavg_nonprivate,10b3c641c615abd33e10551d3ab279e243c2e58d5d8916e5fdc2a3ef9c362258,18000,18000,36000,250,24600,0,0
pima,2,939188524,dp_fedavg,1c2ff66ee23e2c90d9fa288ab5490030d83cedace92e189e9b92b9c922c6c9bd,18000,18000,36000,250,24600,0,0
pima,2,939188524,dp_fedadam,24f170c0ae52f98e25e08e0ef7c7049e039b608f53aee66800caec2b7234cbb6,18000,18000,36000,250,24600,0,0
pima,2,939188524,fedsift,a0447be3981446848dda62456e790cda315b0f8085449602a204c388a8ae698e,18000,18000,36000,250,24600,3050,0
pima,2,939188524,fedsift_uniform_schedule,65fc8d4a5404450d7345c0f7c3edaeb8c82efabf6b9360a4da45f381ec3cd3de,18000,18000,36000,250,24600,3050,0
pima,2,939188524,fedsift_without_sift,c190dd2b5d4a000a453eefb2e41b3c6820fa2726d6f86c53e9d772680d3e27a5,18000,18000,36000,250,24600,0,0
pima,2,939188524,fedsift_public_argmin_rule,a2ce119b8c8bec3df9631453dd59fbff2d2300ecace8936c2c46c44a7fd0ac7f,18000,18000,36000,250,24600,3050,0
pima,3,939188524,fedavg_nonprivate,34cb7dba107995b91aaf00c146add79cc603e5bd325acb2adc06205a20de6eaf,18000,18000,36000,250,24600,0,0
pima,3,939188524,dp_fedavg,09e211c3cc1129104f338e4e7fe0804295595012914dd67fac06aaff0d46f7ba,18000,18000,36000,250,24600,0,0
pima,3,939188524,dp_fedadam,1bf75316e9ffb3d3e9f2d9c9efc86db57aa60850fb207c2313d0be4097ce1722,18000,18000,36000,250,24600,0,0
pima,3,939188524,fedsift,d6855bd1b2bacffb927511d338442fa080e54384950f8e45e14d887fddd8963e,18000,18000,36000,250,24600,15250,0
pima,3,939188524,fedsift_uniform_schedule,7a0ea53bf493452588b5c86fa4a835c95946cd60399312022699adeee168d2ec,18000,18000,36000,250,24600,15250,0
pima,3,939188524,fedsift_without_sift,69e622bd29a92bb953873ad46448a0662921996542f8001114f6e08a94d9108b,18000,18000,36000,250,24600,0,0
pima,3,939188524,fedsift_public_argmin_rule,16cb04ba0940eef1994b723f5f6f592ba9c8ba3fe1c5b63c0b4bd91e67ceec82,18000,18000,36000,250,24600,15250,0
pima,4,939188524,fedavg_nonprivate,311d929e1d16fc7a5e8c2dd3c970366ea4ce39b321fe9540dd42bf3ce0ec2ca4,18000,18000,36000,250,24650,0,0
pima,4,939188524,dp_fedavg,cda934d1d9ce006f0711d9d3dc6731d0d490069cdcc476ffaf03443229013bf2,18000,18000,36000,250,24650,0,0
pima,4,939188524,dp_fedadam,857391604316863a4fbcfd88d2845c7f291f2cbc94f8d5fa0c9379fd3abb6a71,18000,18000,36000,250,24650,0,0
pima,4,939188524,fedsift,da7ec2df16761dd7762d53b495e52eb28fa981d17e2dedd56c060f6d3d14052e,18000,18000,36000,250,24650,3050,0
